"release_date","revenue","title","collection_name","main_genre","release_year","main_genre_name","rank"
"1981-05-15",58972904,"Chariots of Fire","",7,"1981","Drama",8
"1981-06-23",195312802,"For Your Eyes Only","James Bond Collection",2,"1981","Adventure",2
"1981-12-15",55260558,"Quest for Fire","",2,"1981","Adventure",9
"1981-07-17",95461682,"Arthur","Arthur Collection",4,"1981","Comedy",4
"1981-11-13",125728258,"Porky's","Porky's Collection"", 'poster_path'",4,"1981","Comedy",3
"1981-06-19",72179579,"The Cannonball Run","Cannonball Run Collection",4,"1981","Comedy",7
"1965-03-02",286214286,"The Sound of Music","",7,"1965","Drama",1
"1965-07-01",25333333,"The Great Race","",2,"1965","Adventure",5
"1965-12-22",111858363,"Doctor Zhivago","",7,"1965","Drama",3
"1965-12-16",141195658,"Thunderball","James Bond Collection",2,"1965","Adventure",2
"1965-12-18",1.5e+07,"For a Few Dollars More","The Man With No Name Collection",20,"1965","Western",9
"1965-06-24",20666667,"Cat Ballou","",4,"1965","Comedy",6
"1965-02-15",15473333,"The Greatest Story Ever Told","",7,"1965","Drama",7
"1965-12-10",6792000,"A Patch of Blue","",7,"1965","Drama",10
"1965-06-03",29950000,"Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes","",1,"1965","Action",4
"1965-10-15",15260000,"The Cincinnati Kid","",7,"1965","Drama",8
"1973-12-25",159616327,"The Sting","The Sting Collection",4,"1973","Comedy",3
"1973-12-26",441306145,"The Exorcist","The Exorcist Collection",7,"1973","Drama",1
"1973-07-05",161777836,"Live and Let Die","James Bond Collection",2,"1973","Adventure",2
"1973-11-08",32056467,"Robin Hood","",3,"1973","Animation",9
"1973-10-17",4.5e+07,"The Way We Were","",7,"1973","Drama",7
"1973-12-13",53267000,"Papillon","",5,"1973","Crime",6
"1973-08-01",1.4e+08,"American Graffiti","American Graffiti Collection",4,"1973","Comedy",4
"1973-12-23",39768000,"Magnum Force","Dirty Harry Collection",1,"1973","Action",8
"1973-12-05",29800000,"Serpico","",5,"1973","Crime",10
"1973-08-17",9e+07,"Enter the Dragon","",1,"1973","Action",5
"1979-08-15",89460381,"Apocalypse Now","",7,"1979","Drama",7
"1979-05-25",104931801,"Alien","Alien Collection",12,"1979","Horror",5
"1979-07-27",86432000,"The Amityville Horror","The Amityville Horror Collection",7,"1979","Drama",8
"1979-12-06",1.39e+08,"Star Trek: The Motion Picture","Star Trek",16,"1979","Science Fiction",3
"1979-12-18",106260000,"Kramer vs. Kramer","",7,"1979","Drama",4
"1979-06-15",200182160,"Rocky II","Rocky Collection",7,"1979","Drama",2
"1979-05-31",76657000,"The Muppet Movie","The Muppet Collection",2,"1979","Adventure",9
"1979-06-26",210308099,"Moonraker","James Bond Collection",1,"1979","Action",1
"1979-04-12",1e+08,"Mad Max","Mad Max Collection",2,"1979","Adventure",6
"1979-10-04",74865517,"10","",4,"1979","Comedy",10
"1967-07-18",50700000,"Bonnie and Clyde","",5,"1967","Crime",5
"1967-12-21",104945305,"The Graduate","",7,"1967","Drama",3
"1967-08-02",27379978,"In the Heat of the Night","",5,"1967","Crime",10
"1967-10-17",205843612,"The Jungle Book","The Jungle Book Collection",8,"1967","Family",1
"1967-06-15",45300000,"The Dirty Dozen","The Dirty Dozen Collection",1,"1967","Action",7
"1967-12-11",56666667,"Guess Who's Coming to Dinner","",4,"1967","Comedy",4
"1967-04-13",41744718,"Casino Royale","James Bond Collection",2,"1967","Adventure",8
"1967-12-27",5e+07,"Valley of the Dolls","",13,"1967","Music",6
"1967-06-12",111584787,"You Only Live Twice","James Bond Collection",1,"1967","Action",2
"1967-08-18",3.6e+07,"The Born Losers","Billy Jack Collection",1,"1967","Action",9
"1987-08-21",213954274,"Dirty Dancing","Dirty Dancing Collection",7,"1987","Drama",3
"1987-03-06",120207127,"Lethal Weapon","Lethal Weapon Collection",2,"1987","Adventure",6
"1987-06-02",76270454,"The Untouchables","",5,"1987","Crime",10
"1987-12-18",80640528,"Moonstruck","",4,"1987","Comedy",9
"1987-09-11",320145693,"Fatal Attraction","",15,"1987","Romance",1
"1987-12-23",123922370,"Good Morning, Vietnam","",4,"1987","Comedy",5
"1987-06-11",98235548,"Predator","Predator Collection",16,"1987","Science Fiction",8
"1987-06-29",191185897,"The Living Daylights","James Bond Collection",1,"1987","Action",4
"1987-05-18",299965036,"Beverly Hills Cop II","Beverly Hills Cop Collection",1,"1987","Action",2
"1987-04-10",110996879,"The Secret of My Success","",4,"1987","Comedy",7
"1986-12-18",138530565,"Platoon","",7,"1986","Drama",4
"1986-05-16",356830601,"Top Gun","",1,"1986","Action",1
"1986-07-18",183316455,"Aliens","Alien Collection",12,"1986","Horror",3
"1986-11-25",1.33e+08,"Star Trek IV: The Voyage Home","Star Trek",16,"1986","Science Fiction",5
"1986-11-21",84542002,"An American Tail","Fievel Collection",7,"1986","Drama",8
"1986-06-13",91258000,"Back to School","",4,"1986","Comedy",7
"1986-06-18",115103979,"The Karate Kid, Part II","The Karate Kid Collection",2,"1986","Adventure",6
"1986-09-24",77200000,"The Name of the Rose","",7,"1986","Drama",10
"1986-09-26",328203506,"Crocodile Dundee","Crocodile Dundee Collection",2,"1986","Adventure",2
"1986-12-12",79817939,"The Golden Child","",1,"1986","Action",9
"1980-05-17",538400000,"The Empire Strikes Back","Star Wars Collection",2,"1980","Adventure",1
"1980-06-17",115229890,"The Blues Brothers","The Blues Brothers Collection",13,"1980","Music",3
"1980-05-09",59754601,"Friday the 13th","Friday the 13th Collection",12,"1980","Horror",10
"1980-09-10",6e+07,"The Gods Must Be Crazy","The Gods Must Be Crazy Collection",1,"1980","Action",9
"1980-12-04",190458706,"Superman II","Superman Collection",1,"1980","Action",2
"1980-07-02",83453539,"Airplane!","Airplane Collection",4,"1980","Comedy",5
"1980-12-17",70687344,"Any Which Way You Can","Philo & Clyde Collection",1,"1980","Action",6
"1980-03-07",67182787,"Coal Miner's Daughter","",7,"1980","Drama",7
"1980-08-15",66132626,"Smokey and the Bandit II","Smokey and the Bandit Collection",1,"1980","Action",8
"1980-12-12",101300000,"Stir Crazy","",4,"1980","Comedy",4
"1978-12-08",5e+07,"The Deer Hunter","",7,"1978","Drama",8
"1978-07-07",181813770,"Grease","Grease Collection",15,"1978","Romance",3
"1978-06-16",187884007,"Jaws 2","The Jaws Collection",12,"1978","Horror",2
"1978-10-25",7e+07,"Halloween","Halloween Collection",12,"1978","Horror",6
"1978-12-13",300218018,"Superman","Superman Collection",1,"1978","Action",1
"1978-07-27",1.41e+08,"Animal House","",4,"1978","Comedy",4
"1978-05-10",4.5e+07,"The End","",4,"1978","Comedy",10
"1978-09-02",5.5e+07,"Dawn of the Dead","Living Dead Collection",12,"1978","Horror",7
"1978-07-28",7.8e+07,"Hooper","",1,"1978","Action",5
"1978-07-19",49579269,"Revenge of the Pink Panther","The Pink Panther (Original) Collection",1,"1978","Action",9
"1966-12-23",6e+06,"The Good, the Bad and the Ugly","The Man With No Name Collection",20,"1966","Western",9.5
"1966-12-12",28350000,"A Man for All Seasons","",7,"1966","Drama",3
"1966-06-21",33736689,"Who's Afraid of Virginia Woolf?","",7,"1966","Drama",2
"1966-07-13",1.3e+07,"Torn Curtain","",14,"1966","Mystery",6
"1966-12-17",6e+06,"El Dorado","",20,"1966","Western",9.5
"1966-08-24",1.2e+07,"Fantastic Voyage","",2,"1966","Adventure",7.5
"1966-12-20",2e+07,"The Sand Pebbles","",1,"1966","Action",4
"1966-02-18",16318124,"The Silencers","The Matt Helm Collection",1,"1966","Action",5
"1966-02-23",1.2e+07,"Harper","Lew Harper Collection",1,"1966","Action",7.5
"1966-10-10",34562222,"Hawaii","",7,"1966","Drama",1
"1957-03-25",1e+06,"12 Angry Men","",7,"1957","Drama",6
"1957-10-02",27200000,"The Bridge on the River Kwai","",7,"1957","Drama",1
"1957-10-03",752045,"Nights of Cabiria","",7,"1957","Drama",7
"1957-12-17",9e+06,"Witness for the Prosecution","",7,"1957","Drama",3
"1957-12-17",2200000,"Legend of the Lost","",2,"1957","Adventure",4
"1957-05-30",11750000,"Gunfight at the O.K. Corral","",20,"1957","Western",2
"1957-06-19",2e+06,"I Was a Teenage Werewolf","",7,"1957","Drama",5
"1962-12-10",69995385,"Lawrence of Arabia","",2,"1962","Adventure",2
"1962-12-25",13129846,"To Kill a Mockingbird","",5,"1962","Crime",7
"1962-10-24",96105910,"The Manchurian Candidate","",14,"1962","Mystery",1
"1962-06-13",9250000,"Lolita","",7,"1962","Drama",8
"1962-10-04",59600000,"Dr. No","James Bond Collection",2,"1962","Adventure",3
"1962-09-25",50100000,"The Longest Day","",1,"1962","Action",4
"1962-04-22",8e+06,"The Man Who Shot Liberty Valance","",20,"1962","Western",9.5
"1962-11-01",5e+07,"How the West Was Won","",11,"1962","History",5
"1962-06-19",8e+06,"The Music Man","",4,"1962","Comedy",9.5
"1962-11-08",13680000,"Mutiny on the Bounty","",2,"1962","Adventure",6
"1983-05-23",572700000,"Return of the Jedi","Star Wars Collection",2,"1983","Adventure",1
"1983-03-16",87987055,"Jaws 3-D","The Jaws Collection",17,"1983","Thriller",6
"1983-06-17",75850624,"Superman III","Superman Collection",4,"1983","Comedy",8
"1983-04-14",92921203,"Flashdance","",7,"1983","Drama",4
"1983-06-07",90400000,"Trading Places","",4,"1983","Comedy",5
"1983-12-08",65884703,"Scarface","",1,"1983","Action",10
"1983-12-07",67642693,"Sudden Impact","Dirty Harry Collection",1,"1983","Action",9
"1983-06-03",79567667,"WarGames","WarGames Collection",17,"1983","Thriller",7
"1983-06-05",187500000,"Octopussy","James Bond Collection",2,"1983","Adventure",2
"1983-10-07",1.6e+08,"Never Say Never Again","James Bond Collection",2,"1983","Adventure",3
"1949-08-31",596349,"The Third Man","",17,"1949","Thriller",5
"1949-12-21",3225000,"Twelve O'Clock High","",19,"1949","War",4
"1949-10-22",5400000,"She Wore a Yellow Ribbon","",20,"1949","Western",3
"1949-12-14",7800000,"Sands of Iwo Jima","",1,"1949","Action",2
"1949-12-21",11500000,"Samson and Delilah","",7,"1949","Drama",1
"1985-07-03",381109762,"Back to the Future","Back to the Future Collection",2,"1985","Adventure",1
"1985-02-08",68706993,"Witness","",5,"1985","Crime",9
"1985-12-20",128499205,"Out of Africa","",7,"1985","Drama",6
"1985-06-06",61503218,"The Goonies","",2,"1985","Adventure",10
"1985-05-24",152427960,"A View to a Kill","James Bond Collection",2,"1985","Adventure",4
"1985-05-21",300400432,"Rambo: First Blood Part II","Rambo Collection",1,"1985","Action",3
"1985-12-04",96773200,"The Jewel of the Nile","Romancing the Stone Collection",1,"1985","Action",7
"1985-06-21",85313124,"Cocoon","Cocoon Collection",4,"1985","Comedy",8
"1985-11-21",300473716,"Rocky IV","Rocky Collection",7,"1985","Drama",2
"1985-12-18",146292009,"The Color Purple","",7,"1985","Drama",5
"1974-12-20",47542841,"The Godfather: Part II","The Godfather Collection",7,"1974","Drama",6
"1974-12-15",86273333,"Young Frankenstein","",4,"1974","Comedy",4
"1974-10-01",30859000,"The Texas Chain Saw Massacre","Texas Chainsaw Massacre Collection",12,"1974","Horror",10
"1974-10-18",4.7e+07,"Airport 1975","Airport Collection",1,"1974","Action",7
"1974-12-14",1.16e+08,"The Towering Inferno","",1,"1974","Action",2
"1974-11-15",79666653,"Earthquake","",1,"1974","Action",5
"1974-12-01",97572000,"The Man with the Golden Gun","James Bond Collection",2,"1974","Adventure",3
"1974-02-07",119500000,"Blazing Saddles","",20,"1974","Western",1
"1974-08-21",43008075,"The Longest Yard","",5,"1974","Crime",8
"1974-03-29",36782781,"Watch Out, We're Mad","",1,"1974","Action",9
"1984-05-31",8.7e+07,"Star Trek III: The Search for Spock","Star Trek",16,"1984","Science Fiction",8
"1984-06-07",153083102,"Gremlins","The Gremlins Collection",9,"1984","Fantasy",4
"1984-05-23",3.33e+08,"Indiana Jones and the Temple of Doom","Indiana Jones Collection",2,"1984","Adventure",1
"1984-03-22",146198896,"Police Academy","Police Academy Collection",4,"1984","Comedy",5
"1984-03-30",86572238,"Romancing the Stone","Romancing the Stone Collection",1,"1984","Action",9
"1984-06-22",90815558,"The Karate Kid","The Karate Kid Collection",7,"1984","Drama",7
"1984-06-07",295212467,"Ghostbusters","Ghostbusters Collection",4,"1984","Comedy",3
"1984-02-17",80035402,"Footloose","",7,"1984","Drama",10
"1984-11-29",316360478,"Beverly Hills Cop","Beverly Hills Cop Collection",1,"1984","Action",2
"1984-06-29",1e+08,"Conan the Destroyer","Conan the Barbarian Collection",2,"1984","Adventure",6
"1948-01-24",4307000,"The Treasure of the Sierra Madre","",1,"1948","Action",2
"1948-08-23",2200000,"Rope","",5,"1948","Crime",6
"1948-11-24",361712,"Bicycle Thieves","",7,"1948","Drama",8
"1948-08-26",9012000,"Red River","",20,"1948","Western",1
"1948-12-01",2841000,"3 Godfathers","",1,"1948","Action",5
"1948-03-26",3e+06,"Fort Apache","",20,"1948","Western",3
"1948-06-11",2956000,"The Pirate","",13,"1948","Music",4
"1948-04-06",834332,"Miranda","",4,"1948","Comedy",7
"1998-06-04",264118201,"The Truman Show","",4,"1998","Comedy",10
"1998-05-20",379014294,"Godzilla","",16,"1998","Science Fiction",3
"1998-06-18",304320254,"Mulan","Mulan Collection",3,"1998","Animation",6
"1998-06-22",294456605,"Doctor Dolittle","Dr. Dolittle Collection",4,"1998","Comedy",7
"1998-07-01",553799566,"Armageddon","",1,"1998","Action",1
"1998-07-10",285444603,"Lethal Weapon 4","Lethal Weapon Collection",1,"1998","Action",9
"1998-07-15",369884651,"There's Something About Mary","",15,"1998","Romance",4
"1998-07-24",481840909,"Saving Private Ryan","",7,"1998","Drama",2
"1998-11-25",363258859,"A Bug's Life","",2,"1998","Adventure",5
"1998-12-11",289317794,"Shakespeare in Love","",15,"1998","Romance",8
"1929-02-08",4358000,"The Broadway Melody","",7,"1929","Drama",1
"1932-05-25",2594000,"Grand Hotel","",7,"1932","Drama",1
"1932-04-09",6e+05,"Scarface","",1,"1932","Action",2
"1933-02-08",7630000,"Cavalcade","",7,"1933","Drama",2
"1933-04-07",1e+07,"King Kong","King Kong (1933 series)",1,"1933","Action",1
"1933-02-02",2281000,"42nd Street","",13,"1933","Music",5
"1933-10-06",2850000,"I'm No Angel","",4,"1933","Comedy",3
"1933-12-26",2610000,"Queen Christina","",7,"1933","Drama",4
"1933-02-09",2200000,"She Done Him Wrong","",4,"1933","Comedy",6
"1947-11-11",7800000,"Gentleman's Agreement","",7,"1947","Drama",1
"1947-10-03",152961,"Quai des Orfèvres","",5,"1947","Crime",2
"1927-01-10",650422,"Metropolis","",7,"1927","Drama",2
"1927-10-31",1027757,"My Best Girl","",7,"1927","Drama",1
"1927-09-23",121,"Sunrise: A Song of Two Humans","",7,"1927","Drama",3
"1999-03-30",463517383,"The Matrix","The Matrix Collection",1,"1999","Action",4
"1999-04-16",415885488,"The Mummy","The Mummy Collection",2,"1999","Adventure",6
"1999-05-19",924317558,"Star Wars: Episode I - The Phantom Menace","Star Wars Collection",2,"1999","Adventure",1
"1999-05-13",363889678,"Notting Hill","",15,"1999","Romance",7
"1999-06-08",310940086,"Austin Powers: The Spy Who Shagged Me","Austin Powers Collection",2,"1999","Adventure",10
"1999-06-18",4.48e+08,"Tarzan","Tarzan (Animation) Collection",2,"1999","Adventure",5
"1999-08-06",672806292,"The Sixth Sense","",14,"1999","Mystery",2
"1999-09-15",356296601,"American Beauty","",7,"1999","Drama",9
"1999-11-08",361832400,"The World Is Not Enough","James Bond Collection",2,"1999","Adventure",8
"1999-10-30",497366869,"Toy Story 2","Toy Story Collection",3,"1999","Animation",3
"1931-02-12",1012189,"Dracula","Dracula (Universal Series)",12,"1931","Horror",3
"1931-11-21",1.2e+07,"Frankenstein","Frankenstein (Universal Series)",7,"1931","Drama",1
"1931-01-30",19181,"City Lights","",4,"1931","Comedy",4
"1931-12-26",2227000,"Mata Hari","",7,"1931","Drama",2
"1926-05-14",966878,"Sparrows","",7,"1926","Drama",1
"1926-12-25",658000,"Flesh and the Devil","",7,"1926","Drama",2
"2000-05-01",457640427,"Gladiator","",1,"2000","Action",2
"2000-05-19",354248063,"Dinosaur","",3,"2000","Animation",5
"2000-05-24",546388105,"Mission: Impossible II","Mission",2,"2000","Adventure",1
"2000-03-15",325756637,"The Perfect Storm","",7,"2000","Drama",8
"2000-07-07",278019771,"Scary Movie","Scary Movie Collection",4,"2000","Comedy",10
"2000-07-13",296339527,"X-Men","X-Men Collection",2,"2000","Adventure",9
"2000-10-06",330444045,"Meet the Parents","Meet the Parents Collection",4,"2000","Comedy",7
"2000-11-17",345141403,"How the Grinch Stole Christmas","",8,"2000","Family",6
"2000-12-15",374111707,"What Women Want","",4,"2000","Comedy",4
"2000-12-22",429632142,"Cast Away","",2,"2000","Adventure",3
"1921-01-21",2500000,"The Kid","",4,"1921","Comedy",1
"1936-02-05",8500000,"Modern Times","",7,"1936","Drama",1
"1936-08-28",1276000,"Mary of Scotland","",7,"1936","Drama",6
"1936-08-27",2600000,"Swing Time","",4,"1936","Comedy",4
"1936-06-26",5273000,"San Francisco","",13,"1936","Music",2
"1936-10-20",2736000,"The Charge of the Light Brigade","",1,"1936","Action",3
"1936-08-28",2019000,"The Gorgeous Hussy","",7,"1936","Drama",5
"1925-06-25",2500000,"The Gold Rush","",2,"1925","Adventure",3
"1925-12-24",45100,"Battleship Potemkin","",7,"1925","Drama",5
"1925-12-30",9e+06,"Ben-Hur: A Tale of the Christ","",2,"1925","Adventure",2
"1925-11-05",2.2e+07,"The Big Parade","",7,"1925","Drama",1
"1925-09-16",704000,"The Unholy Three","",5,"1925","Crime",4
"2001-02-08",351692268,"Hannibal","The Hannibal Lecter Anthology",5,"2001","Crime",10
"2001-04-28",433013274,"The Mummy Returns","The Mummy Collection",2,"2001","Adventure",7
"2001-05-16",484409218,"Shrek","Shrek Collection",2,"2001","Adventure",4
"2001-05-21",449220945,"Pearl Harbor","",11,"2001","History",6
"2001-07-18",368780809,"Jurassic Park III","Jurassic Park Collection",2,"2001","Adventure",8
"2001-07-25",362211740,"Planet of the Apes","",17,"2001","Thriller",9
"2001-11-01",562816256,"Monsters, Inc.","Monsters, Inc. Collection",3,"2001","Animation",3
"2001-11-16",976475550,"Harry Potter and the Philosopher's Stone","Harry Potter Collection",2,"2001","Adventure",1
"2001-12-07",450717150,"Ocean's Eleven","Ocean's Collection"", 'poster_path'",17,"2001","Thriller",5
"2001-12-18",871368364,"The Lord of the Rings: The Fellowship of the Ring","The Lord of the Rings Collection",2,"2001","Adventure",2
"2013-04-18",1215439994,"Iron Man 3","Iron Man Collection",1,"2013","Action",2
"2013-05-06",788679850,"Fast & Furious 6","The Fast and the Furious Collection",1,"2013","Action",6
"2013-06-12",662845518,"Man of Steel","Man of Steel Collection",1,"2013","Action",9
"2013-06-20",743559607,"Monsters University","Monsters, Inc. Collection",3,"2013","Animation",7
"2013-06-25",970761885,"Despicable Me 2","Despicable Me Collection",3,"2013","Animation",3
"2013-09-27",716392705,"Gravity","",16,"2013","Science Fiction",8
"2013-10-29",644571402,"Thor: The Dark World","Thor Collection",1,"2013","Action",10
"2013-11-15",847423452,"The Hunger Games: Catching Fire","The Hunger Games Collection",2,"2013","Adventure",5
"2013-12-11",958400000,"The Hobbit: The Desolation of Smaug","The Hobbit Collection",2,"2013","Adventure",4
"2013-11-27",1274219009,"Frozen","Frozen Collection",3,"2013","Animation",1
"2002-03-10",383257136,"Ice Age","Ice Age Collection",3,"2002","Animation",8
"2002-02-22",368744044,"My Big Fat Greek Wedding","My Big Fat Greek Wedding Collection",4,"2002","Comedy",9
"2002-05-01",821708551,"Spider-Man","Spider-Man Collection",9,"2002","Fantasy",3
"2002-05-15",649398328,"Star Wars: Episode II - Attack of the Clones","Star Wars Collection",2,"2002","Adventure",4
"2002-06-20",358372926,"Minority Report","",1,"2002","Action",10
"2002-07-03",441818803,"Men in Black II","Men In Black Collection",1,"2002","Action",5
"2002-08-02",408247917,"Signs","",7,"2002","Drama",7
"2002-11-13",876688482,"Harry Potter and the Chamber of Secrets","Harry Potter Collection",2,"2002","Adventure",2
"2002-11-17",431971116,"Die Another Day","James Bond Collection",2,"2002","Adventure",6
"2002-12-18",926287400,"The Lord of the Rings: The Two Towers","The Lord of the Rings Collection",2,"2002","Adventure",1
"2003-04-24",407711549,"X2","X-Men Collection",2,"2003","Adventure",9
"2003-05-15",738599701,"The Matrix Reloaded","The Matrix Collection",2,"2003","Adventure",3
"2003-05-23",484572835,"Bruce Almighty","Almighty Collection",9,"2003","Fantasy",5
"2003-05-30",940335536,"Finding Nemo","Finding Nemo Collection",3,"2003","Animation",2
"2003-07-02",4.35e+08,"Terminator 3: Rise of the Machines","The Terminator Collection",1,"2003","Action",7
"2003-07-09",655011224,"Pirates of the Caribbean: The Curse of the Black Pearl","Pirates of the Caribbean Collection",2,"2003","Adventure",4
"2003-07-18",273339556,"Bad Boys II","Bad Boys Collection",2,"2003","Adventure",10
"2003-11-05",424988211,"The Matrix Revolutions","The Matrix Collection",2,"2003","Adventure",8
"2003-12-05",456758981,"The Last Samurai","",7,"2003","Drama",6
"2003-12-01",1118888979,"The Lord of the Rings: The Return of the King","The Lord of the Rings Collection",2,"2003","Adventure",1
"1915-02-08",1.1e+07,"The Birth of a Nation","",7,"1915","Drama",1
"1915-12-13",137365,"The Cheat","",7,"1915","Drama",2
"2004-02-25",611899420,"The Passion of the Christ","",7,"2004","Drama",5
"2004-05-13",497409852,"Troy","",2,"2004","Adventure",8
"2004-05-19",919838758,"Shrek 2","Shrek Collection",2,"2004","Adventure",1
"2004-05-26",544272402,"The Day After Tomorrow","",1,"2004","Action",6
"2004-05-31",789804554,"Harry Potter and the Prisoner of Azkaban","Harry Potter Collection",2,"2004","Adventure",2
"2004-06-25",783766341,"Spider-Man 2","Spider-Man Collection",1,"2004","Action",3
"2004-09-20",367275019,"Shark Tale","",3,"2004","Animation",9
"2004-11-05",631442092,"The Incredibles","The Incredibles Collection",1,"2004","Action",4
"2004-12-09",362744280,"Ocean's Twelve","Ocean's Collection"", 'poster_path'",17,"2004","Thriller",10
"2004-12-22",516642939,"Meet the Fockers","Meet the Parents Collection",4,"2004","Comedy",7
"1922-01-11",400200,"Foolish Wives","",7,"1922","Drama",1
"1924-03-18",1213880,"The Thief of Bagdad","",1,"1924","Action",1
"1923-04-01",623,"Safety Last!","",4,"1923","Comedy",1
"1930-10-28",7940,"L'Âge d'Or","",15,"1930","Romance",2
"1930-11-15",8e+06,"Hell's Angels","",1,"1930","Action",1
"2005-07-13",474968763,"Charlie and the Chocolate Factory","",2,"2005","Adventure",8
"2005-02-10",368100420,"Hitch","",4,"2005","Comedy",10
"2005-05-17",8.5e+08,"Star Wars: Episode III - Revenge of the Sith","Star Wars Collection",16,"2005","Science Fiction",2
"2005-05-25",532680671,"Madagascar","Madagascar Collection",8,"2005","Family",6
"2005-06-07",478207520,"Mr. & Mrs. Smith","",1,"2005","Action",7
"2005-06-10",374218673,"Batman Begins","The Dark Knight Collection",1,"2005","Action",9
"2005-06-28",591739379,"War of the Worlds","",2,"2005","Adventure",4
"2005-11-05",895921036,"Harry Potter and the Goblet of Fire","Harry Potter Collection",2,"2005","Adventure",1
"2005-12-07",748806957,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia Collection",2,"2005","Adventure",3
"2005-12-14",5.5e+08,"King Kong","",2,"2005","Adventure",5
"2006-03-23",660940780,"Ice Age: The Meltdown","Ice Age Collection",3,"2006","Animation",3
"2006-05-03",397850012,"Mission: Impossible III","Mission",2,"2006","Adventure",9
"2006-05-17",767820459,"The Da Vinci Code","Robert Langdon Collection",17,"2006","Thriller",2
"2006-05-24",459359555,"X-Men: The Last Stand","X-Men Collection",2,"2006","Adventure",7
"2006-06-08",461983149,"Cars","Cars Collection",3,"2006","Animation",6
"2006-06-20",1065659812,"Pirates of the Caribbean: Dead Man's Chest","Pirates of the Caribbean Collection",2,"2006","Adventure",1
"2006-06-28",391081192,"Superman Returns","Superman Collection",2,"2006","Adventure",10
"2006-10-20",574480841,"Night at the Museum","Night at the Museum Collection",1,"2006","Action",5
"2006-11-14",599045960,"Casino Royale","James Bond Collection",2,"2006","Adventure",4
"2006-12-09",422610419,"300","300 Collection",1,"2006","Action",8
"2011-04-03",484635760,"Rio","Rio Collection",3,"2011","Animation",10
"2011-04-20",626137675,"Fast Five","The Fast and the Furious Collection",1,"2011","Action",7
"2011-05-14",1045713802,"Pirates of the Caribbean: On Stranger Tides","Pirates of the Caribbean Collection",2,"2011","Adventure",3
"2011-05-25",665692281,"Kung Fu Panda 2","Kung Fu Panda Collection",3,"2011","Animation",6
"2011-06-28",1123746996,"Transformers: Dark of the Moon","Transformers Collection",1,"2011","Action",2
"2011-06-11",559852396,"Cars 2","Cars Collection",3,"2011","Animation",9
"2011-07-07",1.342e+09,"Harry Potter and the Deathly Hallows: Part 2","Harry Potter Collection",8,"2011","Family",1
"2011-07-29",563749323,"The Smurfs","The Smurfs (Theatrical) Collection",3,"2011","Animation",8
"2011-03-15",712171856,"The Twilight Saga: Breaking Dawn - Part 1","The Twilight Collection",2,"2011","Adventure",4
"2011-12-07",694713380,"Mission: Impossible - Ghost Protocol","Mission",1,"2011","Action",5
"1943-04-09",1606624,"Cabin in the Sky","",9,"1943","Fantasy",1
"1943-05-03",1200000,"Five Graves to Cairo","",17,"1943","Thriller",2
"2007-06-22",623722818,"Ratatouille","",3,"2007","Animation",6
"2007-05-01",890871626,"Spider-Man 3","Spider-Man Collection",9,"2007","Fantasy",3
"2007-05-17",798958165,"Shrek the Third","Shrek Collection",9,"2007","Fantasy",4
"2007-05-19",9.61e+08,"Pirates of the Caribbean: At World's End","Pirates of the Caribbean Collection",2,"2007","Adventure",1
"2007-06-27",709709780,"Transformers","Transformers Collection",2,"2007","Adventure",5
"2007-06-28",938212738,"Harry Potter and the Order of the Phoenix","Harry Potter Collection",2,"2007","Adventure",2
"2007-07-25",527068851,"The Simpsons Movie","",3,"2007","Animation",8
"2007-08-03",442824138,"The Bourne Ultimatum","The Bourne Collection",1,"2007","Action",10
"2007-12-14",585349010,"I Am Legend","",7,"2007","Drama",7
"2007-12-13",457363168,"National Treasure: Book of Secrets","National Treasure Collection",1,"2007","Action",9
"2008-07-16",1004558444,"The Dark Knight","The Dark Knight Collection",7,"2008","Drama",1
"2008-04-30",585174222,"Iron Man","Iron Man Collection",1,"2008","Action",8
"2008-05-15",419651413,"The Chronicles of Narnia: Prince Caspian","The Chronicles of Narnia Collection",2,"2008","Adventure",10
"2008-05-21",786636033,"Indiana Jones and the Kingdom of the Crystal Skull","Indiana Jones Collection",2,"2008","Adventure",2
"2008-06-04",631744560,"Kung Fu Panda","Kung Fu Panda Collection",2,"2008","Adventure",3
"2008-06-22",521311860,"WALL·E","",3,"2008","Animation",9
"2008-07-01",624029371,"Hancock","",9,"2008","Fantasy",4
"2008-07-03",609841637,"Mamma Mia!","Mamma Mia! Collection",4,"2008","Comedy",5
"2008-10-30",603900354,"Madagascar: Escape 2 Africa","Madagascar Collection",8,"2008","Family",6
"2008-10-30",586090727,"Quantum of Solace","James Bond Collection",2,"2008","Adventure",7
"1928-11-24",921000,"West of Zanzibar","",7,"1928","Drama",2
"1928-08-04",551,"The Mysterious Lady","",2,"1928","Adventure",4
"1928-04-07",596000,"Across to Singapore","",2,"1928","Adventure",3
"1928-07-18",1200000,"Lights of New York","",5,"1928","Crime",1
"2009-05-13",735099082,"Up","",3,"2009","Animation",6
"2009-06-05",459270619,"The Hangover","The Hangover Collection",4,"2009","Comedy",9
"2009-06-19",836297228,"Transformers: Revenge of the Fallen","Transformers Collection",16,"2009","Science Fiction",4
